"Country","Vaccine","Year","Coverage"
"Angola","BCG","2011",0.88
"Angola","BCG","2012",0.87
"Angola","BCG","2013",0.85
"Angola","BCG","2014",0.81
"Angola","BCG","2015",0.78
"Angola","BCG","2016",0.58
"Angola","BCG","2017",0.92
"Angola","BCG","2018",0.9500000000000001
"AntiguaBarbuda","BCG","1990",0.99
"Argentina","BCG","1980",0.62
"Argentina","BCG","1981",0.7000000000000001
"Argentina","BCG","1982",0.77
"Argentina","BCG","1983",0.7000000000000001
"Argentina","BCG","1984",0.78
"Argentina","BCG","1985",0.9
"Argentina","BCG","1986",0.99
"Argentina","BCG","1987",0.9400000000000001
"Argentina","BCG","1988",0.91
"Argentina","BCG","1989",0.92
"Argentina","BCG","1990",0.99
"Argentina","BCG","1991",0.99
"Argentina","BCG","1992",0.99
"Argentina","BCG","1993",0.99
"Argentina","BCG","1994",0.99
"Argentina","BCG","1995",0.99
"Argentina","BCG","1996",0.99
"Argentina","BCG","1997",0.99
"Argentina","BCG","1998",0.99
"Argentina","BCG","1999",0.99
"Argentina","BCG","2000",0.71
"Argentina","BCG","2001",0.6900000000000001
"Argentina","BCG","2002",0.99
"Argentina","BCG","2003",0.99
"Argentina","BCG","2004",0.99
"Argentina","BCG","2005",0.99
"Argentina","BCG","2006",0.99
"Argentina","BCG","2007",0.99
"Argentina","BCG","2008",0.99
"Argentina","BCG","2009",0.99
"Argentina","BCG","2010",0.99
"Argentina","BCG","2011",0.99
"Argentina","BCG","2012",0.99
"Argentina","BCG","2013",0.99
"Argentina","BCG","2014",0.99
"Argentina","BCG","2015",0.99
"Argentina","BCG","2016",0.92
"Argentina","BCG","2017",0.97
"Argentina","BCG","2018",0.93
"Armenia","BCG","1990",0.8200000000000001
"Armenia","BCG","1991",0.86
"Armenia","BCG","1992",0.88
"Armenia","BCG","1993",0.84
"Armenia","BCG","1994",0.8300000000000001
"Armenia","BCG","1995",0.84
"Armenia","BCG","1996",0.8200000000000001
"Armenia","BCG","1997",0.72
"Armenia","BCG","1998",0.9500000000000001
"Armenia","BCG","1999",0.93
"Armenia","BCG","2000",0.97
"Armenia","BCG","2001",0.96
"Armenia","BCG","2002",0.97
"Armenia","BCG","2003",0.92
"Armenia","BCG","2004",0.96
"Armenia","BCG","2005",0.9400000000000001
"Armenia","BCG","2006",0.91
"Armenia","BCG","2007",0.9400000000000001
"Armenia","BCG","2008",0.98
"Armenia","BCG","2009",0.99
"Armenia","BCG","2010",0.9500000000000001
"Armenia","BCG","2011",0.96
"Armenia","BCG","2012",0.96
"Armenia","BCG","2013",0.99
"Armenia","BCG","2014",0.99
"Armenia","BCG","2015",0.99
"Armenia","BCG","2016",0.99
"Armenia","BCG","2017",0.99
"Armenia","BCG","2018",0.99
"Austria","BCG","1981",0.9
"Austria","BCG","1982",0.9
"Austria","BCG","1983",0.9
"Austria","BCG","1984",0.9
"Austria","BCG","1986",0.9
"Austria","BCG","1987",0.9
"Austria","BCG","1988",0.9
"Austria","BCG","1989",0.9
"Azerbaijan","BCG","1990",0.87
"Azerbaijan","BCG","1991",0.9500000000000001
"Azerbaijan","BCG","1992",0.86
"Azerbaijan","BCG","1993",0.91
"Azerbaijan","BCG","1994",0.9400000000000001
"Azerbaijan","BCG","1995",0.93
"Azerbaijan","BCG","1996",0.93
"Azerbaijan","BCG","1997",0.9400000000000001
"Azerbaijan","BCG","1998",0.96
"Azerbaijan","BCG","1999",0.99
"Azerbaijan","BCG","2000",0.98
"Azerbaijan","BCG","2001",0.99
"Azerbaijan","BCG","2002",0.99
"Azerbaijan","BCG","2003",0.99
"Azerbaijan","BCG","2004",0.99
"Azerbaijan","BCG","2005",0.98
"Azerbaijan","BCG","2006",0.99
"Azerbaijan","BCG","2007",0.98
"Azerbaijan","BCG","2008",0.98
"Azerbaijan","BCG","2009",0.98
"Azerbaijan","BCG","2010",0.98
"Azerbaijan","BCG","2011",0.99
"Azerbaijan","BCG","2012",0.98
"Azerbaijan","BCG","2013",0.98
"Azerbaijan","BCG","2014",0.98
"Azerbaijan","BCG","2015",0.98
"Azerbaijan","BCG","2016",0.98
"Azerbaijan","BCG","2017",0.97
"Azerbaijan","BCG","2018",0.97
"Bahrain","BCG","1980",0.63
"Bahrain","BCG","1999",0.72
"Bahrain","BCG","2001",0.8
"Bahrain","BCG","2002",0.2
"Bahrain","BCG","2003",0.99
"Bahrain","BCG","2004",0.7000000000000001
"Bahrain","BCG","2005",0.89
"Bahrain","BCG","2006",0.8300000000000001
"Bahrain","BCG","2007",0.87
"Bahrain","BCG","2008",0.79
"Bahrain","BCG","2009",0.8
"Bahrain","BCG","2010",0.81
"Bahrain","BCG","2011",0.73
"Bahrain","BCG","2012",0.87
"Bahrain","BCG","2013",0.99
"Bahrain","BCG","2014",0.99
"Bahrain","BCG","2015",0.99
"Bahrain","BCG","2016",0.93
"Bahrain","BCG","2017",0.99
"Bahrain","BCG","2018",0.99
"Bangladesh","BCG","1981",0.01
"Bangladesh","BCG","1982",0.01
"Bangladesh","BCG","1983",0.02
"Bangladesh","BCG","1984",0.02
"Bangladesh","BCG","1985",0.02
"Bangladesh","BCG","1986",0.04
"Bangladesh","BCG","1987",0.15
"Bangladesh","BCG","1988",0.26
"Bangladesh","BCG","1989",0.89
"Bangladesh","BCG","1990",0.91
"Bangladesh","BCG","1991",0.87
"Bangladesh","BCG","1992",0.96
"Bangladesh","BCG","1993",0.93
"Bangladesh","BCG","1994",0.9500000000000001
"Bangladesh","BCG","1995",0.99
"Bangladesh","BCG","1996",0.99
"Bangladesh","BCG","1997",0.99
"Bangladesh","BCG","1998",0.92
"Bangladesh","BCG","1999",0.9400000000000001
"Bangladesh","BCG","2000",0.9500000000000001
"Bangladesh","BCG","2001",0.9400000000000001
"Bangladesh","BCG","2002",0.9500000000000001
"Bangladesh","BCG","2003",0.9500000000000001
"Bangladesh","BCG","2004",0.92
"Bangladesh","BCG","2005",0.96
"Bangladesh","BCG","2006",0.98
"Bangladesh","BCG","2007",0.98
"Bangladesh","BCG","2008",0.98
"Bangladesh","BCG","2009",0.99
"Bangladesh","BCG","2010",0.99
"Bangladesh","BCG","2011",0.99
"Bangladesh","BCG","2012",0.99
"Bangladesh","BCG","2013",0.99
"Bangladesh","BCG","2014",0.99
"Bangladesh","BCG","2015",0.99
"Bangladesh","BCG","2016",0.99
"Bangladesh","BCG","2017",0.99
"Bangladesh","BCG","2018",0.99
"Barbados","BCG","1988",0.75
"Barbados","BCG","1990",0.9500000000000001
"Barbados","BCG","2000",0.92
"Barbados","BCG","2007",0.67
"Barbados","BCG","2008",0.81
"Barbados","BCG","2009",0.89
"Barbados","BCG","2014",0.62
"Barbados","BCG","2015",0.38
"Barbados","BCG","2016",0.46
"Belarus","BCG","1984",0.92
"Belarus","BCG","1985",0.93
"Belarus","BCG","1986",0.92
"Belarus","BCG","1987",0.92
"Belarus","BCG","1988",0.93
"Belarus","BCG","1989",0.92
"Belarus","BCG","1990",0.91
"Belarus","BCG","1991",0.9400000000000001
"Belarus","BCG","1992",0.9500000000000001
"Belarus","BCG","1993",0.93
"Belarus","BCG","1994",0.9400000000000001
"Belarus","BCG","1995",0.96
"Belarus","BCG","1996",0.97
"Belarus","BCG","1997",0.98
"Belarus","BCG","1998",0.99
"Belarus","BCG","1999",0.99
"Belarus","BCG","2000",0.99
"Belarus","BCG","2001",0.99
"Belarus","BCG","2002",0.99
"Belarus","BCG","2003",0.99
"Belarus","BCG","2004",0.99
"Belarus","BCG","2005",0.99
"Belarus","BCG","2006",0.99
"Belarus","BCG","2007",0.98
"Belarus","BCG","2008",0.98
"Belarus","BCG","2009",0.98
"Belarus","BCG","2010",0.99
"Belarus","BCG","2011",0.99
"Belarus","BCG","2012",0.98
"Belarus","BCG","2013",0.99
"Belarus","BCG","2014",0.99
"Belarus","BCG","2015",0.97
"Belarus","BCG","2016",0.98
"Belarus","BCG","2017",0.98
"Belarus","BCG","2018",0.98
"Belize","BCG","1980",0.71
"Belize","BCG","1981",0.71
"Belize","BCG","1982",0.85
"Belize","BCG","1983",0.81
"Belize","BCG","1984",0.77
"Belize","BCG","1985",0.81
"Belize","BCG","1986",0.9400000000000001
"Belize","BCG","1987",0.77
"Belize","BCG","1988",0.85
"Belize","BCG","1989",0.91
"Belize","BCG","1990",0.93
"Belize","BCG","1991",0.9400000000000001
"Belize","BCG","1992",0.97
"Belize","BCG","1993",0.91
"Belize","BCG","1994",0.9
"Belize","BCG","1995",0.92
"Belize","BCG","1996",0.9
"Belize","BCG","1997",0.85
"Belize","BCG","1998",0.93
"Belize","BCG","1999",0.96
"Belize","BCG","2000",0.96
"Belize","BCG","2001",0.98
"Belize","BCG","2002",0.96
"Belize","BCG","2003",0.99
"Belize","BCG","2004",0.99
"Belize","BCG","2005",0.96
"Belize","BCG","2006",0.97
"Belize","BCG","2007",0.99
"Belize","BCG","2008",0.98
"Belize","BCG","2009",0.99
"Belize","BCG","2010",0.98
"Belize","BCG","2011",0.98
"Belize","BCG","2012",0.98
"Belize","BCG","2013",0.99
"Belize","BCG","2014",0.98
"Belize","BCG","2015",0.98
"Belize","BCG","2016",0.9400000000000001
"Belize","BCG","2017",0.9
"Belize","BCG","2018",0.99
"Benin","BCG","1985",0.27
"Benin","BCG","1986",0.41000000000000003
"Benin","BCG","1987",0.46
"Benin","BCG","1988",0.5
"Benin","BCG","1989",0.79
"Benin","BCG","1990",0.74
"Benin","BCG","1991",0.81
"Benin","BCG","1992",0.93
"Benin","BCG","1993",0.91
"Benin","BCG","1994",0.93
"Benin","BCG","1995",0.96
"Benin","BCG","1996",0.9
"Benin","BCG","1997",0.89
"Benin","BCG","1998",0.92
"Benin","BCG","1999",0.99
"Benin","BCG","2000",0.99
"Benin","BCG","2001",0.99
"Benin","BCG","2002",0.99
"Benin","BCG","2003",0.99
"Benin","BCG","2004",0.99
"Benin","BCG","2005",0.99
"Benin","BCG","2006",0.99
"Benin","BCG","2007",0.99
"Benin","BCG","2008",0.99
"Benin","BCG","2009",0.99
"Benin","BCG","2010",0.99
"Benin","BCG","2011",0.99
"Benin","BCG","2012",0.97
"Benin","BCG","2013",0.98
"Benin","BCG","2014",0.96
"Benin","BCG","2015",0.98
"Benin","BCG","2016",0.97
"Benin","BCG","2017",0.96
"Benin","BCG","2018",0.96
"Bhutan","BCG","1979",0.21
"Bhutan","BCG","1980",0.43
"Bhutan","BCG","1981",0.63
"Bhutan","BCG","1982",0.39
"Bhutan","BCG","1983",0.46
"Bhutan","BCG","1984",0.47000000000000003
"Bhutan","BCG","1985",0.59
"Bhutan","BCG","1986",0.55
"Bhutan","BCG","1987",0.67
"Bhutan","BCG","1988",0.73
"Bhutan","BCG","1989",0.93
"Bhutan","BCG","1990",0.87
"Bhutan","BCG","1991",0.99
"Bhutan","BCG","1992",0.8
"Bhutan","BCG","1993",0.8300000000000001
"Bhutan","BCG","1994",0.96
"Bhutan","BCG","1995",0.98
"Bhutan","BCG","1996",0.98
"Bhutan","BCG","1997",0.92
"Bhutan","BCG","1998",0.9400000000000001
"Bhutan","BCG","1999",0.9
"Bhutan","BCG","2000",0.97
"Bhutan","BCG","2001",0.81
"Bhutan","BCG","2002",0.8300000000000001
"Bhutan","BCG","2003",0.93
"Bhutan","BCG","2004",0.92
"Bhutan","BCG","2005",0.99
"Bhutan","BCG","2006",0.92
"Bhutan","BCG","2007",0.9400000000000001
"Bhutan","BCG","2008",0.99
"Bhutan","BCG","2009",0.96
"Bhutan","BCG","2010",0.9500000000000001
"Bhutan","BCG","2011",0.9500000000000001
"Bhutan","BCG","2012",0.9500000000000001
"Bhutan","BCG","2013",0.97
"Bhutan","BCG","2014",0.99
"Bhutan","BCG","2015",0.99
"Bhutan","BCG","2016",0.99
"Bhutan","BCG","2017",0.99
"Bhutan","BCG","2018",0.99
"Bolivia","BCG","1980",0.3
"Bolivia","BCG","1981",0.3
"Bolivia","BCG","1982",0.31
"Bolivia","BCG","1983",0.27
"Bolivia","BCG","1984",0.23
"Bolivia","BCG","1985",0.24
"Bolivia","BCG","1986",0.15
"Bolivia","BCG","1987",0.31
"Bolivia","BCG","1988",0.27
"Bolivia","BCG","1989",0.28
"Bolivia","BCG","1990",0.48
"Bolivia","BCG","1991",0.67
"Bolivia","BCG","1992",0.81
"Bolivia","BCG","1993",0.84
"Bolivia","BCG","1994",0.92
"Bolivia","BCG","1995",0.87
"Bolivia","BCG","1996",0.98
"Bolivia","BCG","1997",0.88
"Bolivia","BCG","1998",0.85
"Bolivia","BCG","1999",0.9500000000000001
"Bolivia","BCG","2000",0.9500000000000001
"Bolivia","BCG","2001",0.9400000000000001
"Bolivia","BCG","2002",0.99
"Bolivia","BCG","2003",0.99
"Bolivia","BCG","2004",0.86
"Bolivia","BCG","2005",0.88
"Bolivia","BCG","2006",0.87
"Bolivia","BCG","2007",0.86
"Bolivia","BCG","2008",0.87
"Bolivia","BCG","2009",0.88
"Bolivia","BCG","2010",0.9
"Bolivia","BCG","2011",0.9
"Bolivia","BCG","2012",0.87
"Bolivia","BCG","2013",0.85
"Bolivia","BCG","2014",0.96
"Bolivia","BCG","2015",0.99
"Bolivia","BCG","2016",0.96
"Bolivia","BCG","2017",0.93
"Bolivia","BCG","2018",0.9
"BosniaHerzegovina","BCG","1991",0.34
"BosniaHerzegovina","BCG","1992",0.2
"BosniaHerzegovina","BCG","1993",0.24
"BosniaHerzegovina","BCG","1994",0.85
"BosniaHerzegovina","BCG","1995",0.64
"BosniaHerzegovina","BCG","1997",0.97
"BosniaHerzegovina","BCG","1998",0.92
"BosniaHerzegovina","BCG","1999",1.
"BosniaHerzegovina","BCG","2000",0.93
"BosniaHerzegovina","BCG","2001",0.9500000000000001
"BosniaHerzegovina","BCG","2002",0.91
"BosniaHerzegovina","BCG","2003",0.9400000000000001
"BosniaHerzegovina","BCG","2004",0.9500000000000001
"BosniaHerzegovina","BCG","2005",0.9500000000000001
"BosniaHerzegovina","BCG","2006",0.97
"BosniaHerzegovina","BCG","2007",0.98
"BosniaHerzegovina","BCG","2008",0.96
"BosniaHerzegovina","BCG","2009",0.97
"BosniaHerzegovina","BCG","2010",0.99
"BosniaHerzegovina","BCG","2011",0.9400000000000001
"BosniaHerzegovina","BCG","2012",0.96
"BosniaHerzegovina","BCG","2014",0.98
"BosniaHerzegovina","BCG","2015",0.9500000000000001
"BosniaHerzegovina","BCG","2016",0.97
"BosniaHerzegovina","BCG","2017",0.97
"BosniaHerzegovina","BCG","2018",0.9500000000000001
"Botswana","BCG","1980",0.7000000000000001
"Botswana","BCG","1981",0.8
"Botswana","BCG","1982",0.78
"Botswana","BCG","1983",0.84
"Botswana","BCG","1984",0.7000000000000001
"Botswana","BCG","1985",0.68
"Botswana","BCG","1986",0.68
"Botswana","BCG","1987",0.49
"Botswana","BCG","1988",0.55
"Botswana","BCG","1989",0.48
"Botswana","BCG","1990",0.5
"Botswana","BCG","1991",0.48
"Botswana","BCG","1992",0.5
"Botswana","BCG","1993",0.5
"Botswana","BCG","1994",0.81
"Botswana","BCG","1995",0.64
"Botswana","BCG","1996",0.67
"Botswana","BCG","1997",0.59
"Botswana","BCG","1998",0.66
"Botswana","BCG","1999",0.67
"Botswana","BCG","2000",0.73
"Botswana","BCG","2001",0.72
"Botswana","BCG","2002",0.72
"Botswana","BCG","2003",0.92
"Botswana","BCG","2004",0.93
"Botswana","BCG","2005",0.99
"Botswana","BCG","2006",0.99
"Botswana","BCG","2007",0.81
"Botswana","BCG","2008",0.99
"Botswana","BCG","2009",0.99
"Botswana","BCG","2010",0.99
"Botswana","BCG","2011",0.99
"Botswana","BCG","2012",0.99
"Botswana","BCG","2013",0.99
"Botswana","BCG","2014",0.93
"Botswana","BCG","2015",0.78
"Botswana","BCG","2016",0.9
"Botswana","BCG","2017",0.73
"Botswana","BCG","2018",0.97
"Brazil","BCG","1980",0.56
"Brazil","BCG","1981",0.62
"Brazil","BCG","1982",0.64
"Brazil","BCG","1983",0.66
"Brazil","BCG","1984",0.75
"Brazil","BCG","1985",0.63
"Brazil","BCG","1986",0.65
"Brazil","BCG","1987",0.68
"Brazil","BCG","1988",0.74
"Brazil","BCG","1989",0.74
"Brazil","BCG","1990",0.79
"Brazil","BCG","1991",0.87
"Brazil","BCG","1992",0.9
"Brazil","BCG","1993",0.9500000000000001
"Brazil","BCG","1994",0.93
"Brazil","BCG","1995",0.99
"Brazil","BCG","1996",0.99
"Brazil","BCG","1997",0.99
"Brazil","BCG","1998",0.99
"Brazil","BCG","1999",0.99
"Brazil","BCG","2000",0.99
"Brazil","BCG","2001",0.99
"Brazil","BCG","2002",0.99
"Brazil","BCG","2003",0.99
"Brazil","BCG","2004",0.99
"Brazil","BCG","2005",0.99
"Brazil","BCG","2006",0.99
"Brazil","BCG","2007",0.99
"Brazil","BCG","2008",0.99
"Brazil","BCG","2009",0.99
"Brazil","BCG","2010",0.99
"Brazil","BCG","2011",0.99
"Brazil","BCG","2012",0.99
"Brazil","BCG","2013",0.99
"Brazil","BCG","2014",0.99
"Brazil","BCG","2015",0.99
"Brazil","BCG","2016",0.96
"Brazil","BCG","2017",0.99
"Brazil","BCG","2018",0.98
"Brunei","BCG","1981",0.99
"Brunei","BCG","1982",0.99
"Brunei","BCG","1983",0.99
"Brunei","BCG","1984",0.9
"Brunei","BCG","1985",0.9500000000000001
"Brunei","BCG","1986",0.85
"Brunei","BCG","1987",0.84
"Brunei","BCG","1988",0.85
"Brunei","BCG","1990",0.9500000000000001
"Brunei","BCG","1992",0.97
"Brunei","BCG","1993",0.99
"Brunei","BCG","1997",0.99
"Brunei","BCG","1998",0.96
"Brunei","BCG","1999",0.98
"Brunei","BCG","2000",0.99
"Brunei","BCG","2001",0.99
"Brunei","BCG","2002",0.9500000000000001
"Brunei","BCG","2003",0.9500000000000001
"Brunei","BCG","2004",0.99
"Brunei","BCG","2005",0.9400000000000001
"Brunei","BCG","2006",0.99
"Brunei","BCG","2007",0.96
"Brunei","BCG","2008",0.99
"Brunei","BCG","2009",0.99
"Brunei","BCG","2010",0.9500000000000001
"Brunei","BCG","2011",0.96
"Brunei","BCG","2012",0.99
"Brunei","BCG","2013",0.99
"Brunei","BCG","2014",0.99
"Brunei","BCG","2015",0.99
"Brunei","BCG","2016",0.99
"Brunei","BCG","2017",0.99
"Brunei","BCG","2018",0.99
"Bulgaria","BCG","1980",0.99
"Bulgaria","BCG","1981",0.97
"Bulgaria","BCG","1984",0.99
"Bulgaria","BCG","1985",0.99
"Bulgaria","BCG","1986",0.99
"Bulgaria","BCG","1987",0.99
"Bulgaria","BCG","1988",0.99
"Bulgaria","BCG","1989",0.99
"Bulgaria","BCG","1990",0.99
"Bulgaria","BCG","1991",0.99
"Bulgaria","BCG","1992",0.99
"Bulgaria","BCG","1993",0.99
"Bulgaria","BCG","1994",0.98
"Bulgaria","BCG","1995",0.99
"Bulgaria","BCG","1996",0.98
"Bulgaria","BCG","1997",0.97
"Bulgaria","BCG","1998",0.98
"Bulgaria","BCG","1999",0.99
"Bulgaria","BCG","2000",0.98
"Bulgaria","BCG","2001",0.98
"Bulgaria","BCG","2002",0.98
"Bulgaria","BCG","2003",0.98
"Bulgaria","BCG","2004",0.98
"Bulgaria","BCG","2005",0.98
"Bulgaria","BCG","2006",0.98
"Bulgaria","BCG","2007",0.98
"Bulgaria","BCG","2008",0.98
"Bulgaria","BCG","2009",0.98
"Bulgaria","BCG","2010",0.98
"Bulgaria","BCG","2011",0.98
"Bulgaria","BCG","2012",0.97
"Bulgaria","BCG","2013",0.97
"Bulgaria","BCG","2014",0.97
"Bulgaria","BCG","2015",0.96
"Bulgaria","BCG","2016",0.96
"Bulgaria","BCG","2017",0.96
"Bulgaria","BCG","2018",0.96
"BurkinaFaso","BCG","1981",0.16
"BurkinaFaso","BCG","1985",0.17
"BurkinaFaso","BCG","1986",0.52
"BurkinaFaso","BCG","1987",0.67
"BurkinaFaso","BCG","1988",0.5700000000000001
"BurkinaFaso","BCG","1992",0.66
"BurkinaFaso","BCG","1993",0.72
"BurkinaFaso","BCG","1994",0.63
"BurkinaFaso","BCG","1995",0.78
"BurkinaFaso","BCG","1996",0.61
"BurkinaFaso","BCG","1997",0.73
"BurkinaFaso","BCG","1998",0.77
"BurkinaFaso","BCG","1999",0.76
"BurkinaFaso","BCG","2000",0.8
"BurkinaFaso","BCG","2001",0.8
"BurkinaFaso","BCG","2002",0.9
"BurkinaFaso","BCG","2003",0.8300000000000001
"BurkinaFaso","BCG","2004",0.99
"BurkinaFaso","BCG","2005",0.99
"BurkinaFaso","BCG","2006",0.99
"BurkinaFaso","BCG","2007",0.99
"BurkinaFaso","BCG","2008",0.99
"BurkinaFaso","BCG","2009",0.99
"BurkinaFaso","BCG","2010",0.99
"BurkinaFaso","BCG","2011",0.99
"BurkinaFaso","BCG","2012",0.97
"BurkinaFaso","BCG","2013",0.96
"BurkinaFaso","BCG","2014",0.98
"BurkinaFaso","BCG","2015",0.98
"BurkinaFaso","BCG","2016",0.98
"BurkinaFaso","BCG","2017",0.98
"BurkinaFaso","BCG","2018",0.98
"Burundi","BCG","1981",0.59
"Burundi","BCG","1982",0.56
"Burundi","BCG","1983",0.52
"Burundi","BCG","1984",0.46
"Burundi","BCG","1985",0.52
"Burundi","BCG","1986",0.66
"Burundi","BCG","1987",0.8200000000000001
"Burundi","BCG","1988",0.85
"Burundi","BCG","1989",0.99
"Burundi","BCG","1990",0.97
"Burundi","BCG","1991",0.87
"Burundi","BCG","1992",0.9
"Burundi","BCG","1993",0.73
"Burundi","BCG","1994",0.61
"Burundi","BCG","1995",0.5
"Burundi","BCG","1996",0.64
"Burundi","BCG","1997",0.71
"Burundi","BCG","1998",0.58
"Burundi","BCG","1999",0.72
"Burundi","BCG","2000",0.73
"Burundi","BCG","2001",0.63
"Burundi","BCG","2002",0.97
"Burundi","BCG","2003",0.92
"Burundi","BCG","2004",0.91
"Burundi","BCG","2005",0.89
"Burundi","BCG","2006",0.98
"Burundi","BCG","2007",0.97
"Burundi","BCG","2008",0.99
"Burundi","BCG","2009",0.98
"Burundi","BCG","2010",0.93
"Burundi","BCG","2011",0.9
"Burundi","BCG","2012",0.98
"Burundi","BCG","2013",0.9500000000000001
"Burundi","BCG","2014",0.92
"Burundi","BCG","2015",0.93
"Burundi","BCG","2016",0.93
"Burundi","BCG","2017",0.92
"Burundi","BCG","2018",0.91
"CapeVerde","BCG","1985",0.64
"CapeVerde","BCG","1986",0.93
"CapeVerde","BCG","1987",0.99
"CapeVerde","BCG","1988",0.99
"CapeVerde","BCG","1989",0.99
"CapeVerde","BCG","1990",0.97
"CapeVerde","BCG","1991",0.99
"CapeVerde","BCG","1992",0.99
"CapeVerde","BCG","1993",0.99
"CapeVerde","BCG","1995",0.8
"CapeVerde","BCG","1996",0.8
"CapeVerde","BCG","1997",0.8
"CapeVerde","BCG","1998",0.84
"CapeVerde","BCG","1999",0.75
"CapeVerde","BCG","2000",0.92
"CapeVerde","BCG","2001",0.84
"CapeVerde","BCG","2002",0.92
"CapeVerde","BCG","2003",0.97
"CapeVerde","BCG","2004",0.79
"CapeVerde","BCG","2005",0.78
